address,contract_name,name_tag,srcnet
0x6b7a87899490EcE95443e979cA9485CBE7E71522,AnyswapV4Router,Multichain: Router V4,ETH
0xBa8Da9dcF11B50B03fd5284f164Ef5cdEF910705,AnyswapV6Router,Multichain: Router V6,ETH
0x765277EebeCA2e31912C9946eAe1021199B39C61,AnyswapV4Router,Multichain: Router V4 2,ETH
0xe95fD76CF16008c12FF3b3a937CB16Cd9Cc20284,AnyswapV3Router,Multichain: Router V3,ETH
0xf99d58e463A2E07e5692127302C20A191861b4D6,Erc20SwapAsset,AnySwap: ANY Token,ETH
0x979aCA85bA37c675e78322ed5d97fa980B9Bdf00,Erc20SwapAsset,Multichain: anyFSN Token,ETH
0x22648C12acD87912EA1710357B1302c6a4154Ebc,AnyswapV5ERC20,Multichain: anyUSDT Token,ETH
0x7EA2be2df7BA6E54B1A9C70676f668455E329d29,AnyswapV5ERC20,Multichain: anyUSDC Token,ETH
0x51600B0CfF6Bbf79E7767158C41FD15e968Ec404,BtcSwapAssetV2,Multichain: anyBTC Token,ETH
0xB153FB3d196A8eB25522705560ac152eeEc57901,AnyswapV5ERC20,Multichain: Wrapped Ether,ETH
0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3,AnyswapV4Router,Multichain: Router V4,BNB
0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa,AnyswapBEP20,Anyswap: ANY Token,BNB
0x7e624fa0e1c4abfd309cc15719b7e2580887f570,AnyswapV4ERC20,Multichain: POLS Token,BNB
0xabd380327fe66724ffda91a87c772fb8d00be488,AnyswapV4Router,Multichain: Router V4 2,BNB
0xe1d592c3322f1f714ca11f05b6bc0efef1907859,AnyswapV6Router,Multichain: Router V6,BNB
0x6f817a0ce8f7640add3bc0c1c2298635043c2423,Erc20SwapAsset,Anyswap: anyETH Token,BNB
0x92C079d3155C2722dBf7E65017a5baf9CD15561c,AnyswapV6Router,Multichain: Bridge,BNB
0xeBd49b26169e1b52c04cFd19FCf289405dF55F80,AnyswapV4ERC20,Anyswap: ORBS Token,BNB
0x1F7216fdB338247512Ec99715587bb97BBf96eae,AnyswapV3ERC20,Anyswap: bBadger Token,BNB
0x5921DEE8556c4593EeFCFad3CA5e2f618606483b,Erc20SwapAsset,Anyswap: anyMTLX Token,BNB
0xc10ef9f491c9b59f936957026020c321651ac078,AnyCallV6Proxy,Multichain: anyCall V6,polygon
0x4f3aff3a747fcade12598081e80c6605a8be192f,AnyswapV4Router,Multichain: Router V4,polygon
0x6ff0609046a38d76bd40c5863b4d1a2dce687f73,AnyswapV4Router,Multichain: Router V4 2,polygon
0x72c290f3f13664b024ee611983aa2d5621ebe917,AnyswapV6Router,Multichain: Router V6,polygon
